time,coin,stablecoin,value
2020-12-15,ALGO,0,0.0388520042447844
2020-12-16,ALGO,0,0.0453599308046295
2020-12-17,ALGO,0,-0.0249789972068661
2020-12-18,ALGO,0,0.0615983403471041
2020-12-19,ALGO,0,0.0084579021257562
2020-12-20,ALGO,0,-0.0465467532453541
2020-12-21,ALGO,0,-0.0457360093226844
2020-12-22,ALGO,0,0.0374666178401775
2020-12-23,ALGO,0,-0.151140190200091
2020-12-24,ALGO,0,0.0792198043713226
2020-12-25,ALGO,0,-0.0160620221483112
2020-12-26,ALGO,0,0.0009710309874495
2020-12-27,ALGO,0,0.0305853722852201
2020-12-28,ALGO,0,0.115444424841681
2020-12-29,ALGO,0,-0.0329668956236735
2020-12-30,ALGO,0,-0.0311057942295621
2020-12-31,ALGO,0,0.0014892035514677
2021-01-01,ALGO,0,0.171850256926659
2021-01-02,ALGO,0,0.0225508255218966
2021-01-03,ALGO,0,0.0422226304223466
2021-01-04,ALGO,0,0.0494946376046956
2021-01-05,ALGO,0,0.0726377596669587
2021-01-06,ALGO,0,0.064603487842158
2021-01-07,ALGO,0,-0.106855818735259
2021-01-08,ALGO,0,-0.011780240942823
2021-01-09,ALGO,0,0.0656077320795854
2021-01-10,ALGO,0,-0.0564333558035441
2021-01-11,ALGO,0,-0.0969640799027778
2021-01-12,ALGO,0,-0.0455849565554171
2021-01-13,ALGO,0,0.121009742211204
2021-01-14,ALGO,0,0.011925936401126
2021-01-15,ALGO,0,0.0668684063825767
2021-01-16,ALGO,0,0.0634470632911042
2021-01-17,ALGO,0,0.125355839746201
2021-01-18,ALGO,0,-0.0368841047896366
2021-01-19,ALGO,0,-0.0825153334476192
2021-01-20,ALGO,0,0.0482426689463389
2021-01-21,ALGO,0,-0.171211541635088
2021-01-22,ALGO,0,0.0985348473514668
2021-01-23,ALGO,0,0.0893316773819276
2021-01-24,ALGO,0,0.0107143882124061
2021-01-25,ALGO,0,-0.0119719110584428
2021-01-26,ALGO,0,0.0777862609642754
2021-01-27,ALGO,0,-0.10364349177923
2021-01-28,ALGO,0,0.0342704192564038
2021-01-29,ALGO,0,0.126891751854624
2021-01-30,ALGO,0,0.0434750899414525
2021-01-31,ALGO,0,-0.0188169436688753
2021-02-01,ALGO,0,-0.0132615667527989
2021-02-02,ALGO,0,0.0112681596678013
2021-02-03,ALGO,0,0.135045977984849
2021-02-04,ALGO,0,-0.0531512759395542
2021-02-05,ALGO,0,0.167097598397195
2021-02-06,ALGO,0,-0.0301249550568789
2021-02-07,ALGO,0,0.0422564073594573
2021-02-08,ALGO,0,0.174329743408593
2021-02-09,ALGO,0,0.0235535912983977
2021-02-10,ALGO,0,0.0019379851026786
2021-02-11,ALGO,0,0.183450316084969
2021-02-12,ALGO,0,0.327568899783069
2021-02-13,ALGO,0,-0.0294658913430291
2021-02-14,ALGO,0,-0.128078073043209
2021-02-15,ALGO,0,-0.0821409872876363
2021-02-16,ALGO,0,-0.0307255342692454
2021-02-17,ALGO,0,0.0395426376793937
2021-02-18,ALGO,0,0.0217085225330123
2021-02-19,ALGO,0,-0.0180575509711312
2021-02-20,ALGO,0,-0.0409131065425496
2021-02-21,ALGO,0,-0.0053292855480837
2021-02-22,ALGO,0,-0.135496244255454
2021-02-23,ALGO,0,-0.128548821280059
2021-02-24,ALGO,0,0.0541718511421997
2021-02-25,ALGO,0,-0.0790309785894363
2021-02-26,ALGO,0,-0.0108607624942672
2021-02-27,ALGO,0,0.125047998068281
2021-02-28,ALGO,0,-0.0745276406217965
2021-03-01,ALGO,0,0.0663121676684053
2021-03-02,ALGO,0,-0.0073597388320802
2021-03-03,ALGO,0,0.0874729509650529
2021-03-04,ALGO,0,-0.081030222742854
2021-03-05,ALGO,0,-0.0326369293130227
2021-03-06,ALGO,0,-0.0028476526125116
2021-03-07,ALGO,0,0.0509605394109817
2021-03-08,ALGO,0,0.0415805143594079
2021-03-09,ALGO,0,0.0231273691293175
2021-03-10,ALGO,0,-0.0656116341150821
2021-03-11,ALGO,0,-0.0210149350812896
2021-03-12,ALGO,0,-0.0309448038494215
2021-03-13,ALGO,0,0.080482171534707
2021-03-14,ALGO,0,-0.0150511916141162
2021-03-15,ALGO,0,0.0630878708803874
2021-03-16,ALGO,0,0.0066778211426055
2021-03-17,ALGO,0,0.0706553822605649
2021-03-18,ALGO,0,-0.0259142887654705
2021-03-19,ALGO,0,-0.0055843782939005
2021-03-20,ALGO,0,-0.0325231917055601
