coinfrom,cointo,corr
DAI,FTT,0.04483591658703925
DASH,FTT,0.5318226253631557
DOT,FTT,0.48690913580436873
EOS,FTT,0.5839754467646832
ETC,FTT,0.4010073074485177
ETH,FTT,0.7494787112044113
FTT,FTT,1.0
HEDG,FTT,0.21703503570133206
HEX,FTT,0.13523942395653335
HT,FTT,0.6730819728859446
LEO,FTT,0.22989031282540798
LINK,FTT,0.6356980665920384
LTC,FTT,0.6235542466452073
MIOTA,FTT,0.6142840297955783
MKR,FTT,0.4719871676963424
NEO,FTT,0.5985064719914795
OKB,FTT,0.5663011080254651
OMG,FTT,0.5361707805288064
ONT,FTT,0.5816493222553388
SNX,FTT,0.522289441938977
THETA,FTT,0.36356693976796073
TRX,FTT,0.4556211943346214
TUSD,FTT,-0.11211155792267828
UMA,FTT,0.4544853041488265
USDC,FTT,-0.06696476976704452
USDT,FTT,0.04668273846670367
VET,FTT,0.5293380499816057
WBTC,FTT,0.6936827565140681
XEM,FTT,0.37701165655245084
XLM,FTT,0.5164614060011883
XMR,FTT,0.49572812874330824
XRP,FTT,0.33392952154007904
XTZ,FTT,0.6224201546871985
YFI,FTT,0.4489778127982598
ZEC,FTT,0.5892250034245669
ADA,HEDG,0.20096763679871424
ALGO,HEDG,0.2413937124261017
ATOM,HEDG,0.2139968938131592
BCH,HEDG,0.225956057460201
BNB,HEDG,0.11548108036701409
BSV,HEDG,0.18561075625385187
BTC,HEDG,0.3065804611837357
BUSD,HEDG,0.03399953624859888
CRO,HEDG,0.22262858119854764
CTC,HEDG,0.029150005213748192
DAI,HEDG,0.041907273345407815
DASH,HEDG,0.1405678494268816
DOT,HEDG,0.3229634469390224
EOS,HEDG,0.1867991504855139
ETC,HEDG,0.08689883573250913
ETH,HEDG,0.30843376926333643
FTT,HEDG,0.21703503570133206
HEDG,HEDG,1.0
HEX,HEDG,0.14172862466034958
HT,HEDG,0.05450104866921477
LEO,HEDG,0.01279219315762983
LINK,HEDG,0.2909947017735204
LTC,HEDG,0.24177534167892392
MIOTA,HEDG,0.21142169573266598
MKR,HEDG,0.2026372314785183
NEO,HEDG,0.14011947123251933
OKB,HEDG,0.009272102988387857
OMG,HEDG,0.17100534921203328
ONT,HEDG,0.2314751119857516
SNX,HEDG,0.10811131476764553
THETA,HEDG,0.1814088038731937
TRX,HEDG,0.11325027729723709
TUSD,HEDG,0.0040438588455939325
UMA,HEDG,0.1344942515712336
USDC,HEDG,-0.02697114724135854
USDT,HEDG,0.01185267985255232
VET,HEDG,0.19053193871108803
